H_sed,Vs_sed0,Vs_sedz,K_sed,H_uc,Vs_uc,VpVs_uc,H_moho,Vs_lc,VpVs_lc,Vs_mantle,VpVs_mantle
3.639480144690929,1.4085223915211273,2.0308649445233646,2.184403099849166,16.85963556839171,3.885001190688735,1.7395190812608883,32.43858213687483,3.9043030303102846,1.7092168998281883,4.582340184660683,1.7740744748990358
2.9806405170331867,0.7577455004018725,2.011390034595477,2.2550705786005154,15.550764200803405,3.8377668092679054,1.7587013587006757,28.119229371806927,3.9515489566918607,1.7262668690511505,4.489527997628994,1.76348705938934
2.885466645187144,0.5997467421185962,2.0713574506195878,2.1211785947997113,16.216360349807882,3.7684769937241196,1.7939407723219298,28.9449934702137,3.6885756455266994,1.67684706325362,4.489776737534005,1.784476088213646
2.8147863063469516,0.6268591181507155,2.0758697351341566,2.1924999821294446,15.947054416960603,3.479610236153532,1.8462956649183506,29.062550790577138,3.72462445532911,1.6645787621574595,4.485028150161904,1.7536134345771972
2.5295913030337163,0.5162622901652227,2.171629867320367,2.5232276559856577,15.027136672633594,3.4175847684992564,1.7482498943381033,31.493294545936884,3.820644544797312,1.674358638554743,4.481629995836921,1.7579334849244468
2.660664395875064,0.5844564708987525,2.136064407351981,2.493422656119001,15.686257926423936,3.4634408544213087,1.7828729814471869,30.969200015218902,3.8486113543614375,1.6837252712196231,4.419463857831401,1.7575492806214967
3.4838479844622747,0.8347431188236794,2.217651814863086,2.528970899218811,15.672093759075858,3.510338254416336,1.782175021050802,29.967881159636942,4.202717317546635,1.658970791835499,4.438060484338751,1.7617925407786592
3.897645642906898,0.5052074675591771,2.2427817428505903,2.6189910935657235,16.086196449857827,3.5443043301060286,1.7905425632575234,29.47769845132555,4.059965715018763,1.6506913926113649,4.414847801377493,1.763666204932474
3.917758676282194,0.5082546169854008,2.051688122224088,2.591114638818926,15.553977146811842,3.559245511736555,1.7299222696565808,29.512370817788195,3.784047143763386,1.65373302460554,4.416765833848516,1.7769054801931594
3.187877736859146,0.7475604303008584,2.456284903326547,2.459418117328756,17.331551210919255,3.718408482997328,1.7857857371870414,34.067050309658434,3.861642474408808,1.657077546940403,4.416052880436263,1.7780987641236887
3.5641628861636345,1.0762208711560823,2.099996299846196,2.3910426849457713,15.53772603409527,3.7328237867554384,1.732010849381091,34.32157952783248,3.8417258787120723,1.6807565900965038,4.425185303610767,1.784415848977153
